Date,eol,Nuclear,car,cc,hid,solFot,solTer,termRenov
2017-08-25,89602.33333333333,164063.0833333333,124659.16666666666,138424.0,42495.25,22683.666666666664,11748.666666666666,11208.083333333332
2017-08-26,109033.08333333333,164025.3333333333,96262.58333333333,104524.75,30375.583333333332,17866.416666666664,2218.75,11038.583333333332
2017-08-27,116995.66666666666,164419.3333333333,81707.58333333333,81802.83333333333,19705.416666666664,12661.083333333332,3914.0,10914.083333333332
2017-08-28,87630.0,163782.66666666666,115715.16666666666,148635.8333333333,38235.33333333333,13992.666666666666,6926.416666666666,10928.5
2017-08-29,55468.83333333333,164157.66666666666,129589.08333333333,156747.0,41421.75,15938.583333333332,8096.75,11150.166666666666
2017-08-30,53379.166666666664,164380.75,120634.91666666666,140108.16666666666,38234.416666666664,19520.166666666664,16542.666666666664,11167.916666666666
2017-08-31,91556.33333333333,164194.5,95267.0,103131.91666666666,40157.666666666664,23968.666666666664,23104.583333333332,11124.25
2017-09-01,136645.25,164347.0833333333,76434.33333333333,61715.416666666664,33632.0,25490.166666666664,23563.916666666664,10908.25
2017-09-02,124165.08333333333,164633.66666666666,55308.33333333333,44360.416666666664,29793.0,26613.916666666664,23237.5,10747.75
2017-09-03,65892.83333333333,164624.3333333333,54030.25,62183.33333333333,34138.166666666664,23082.75,17585.75,10838.083333333332
2017-09-04,62599.416666666664,164059.16666666666,96869.16666666666,126026.5,38177.83333333333,26524.333333333332,24640.583333333332,10761.833333333332
2017-09-05,54883.58333333333,163748.0,109471.75,153993.0,49290.25,26938.333333333332,27027.166666666664,10935.833333333332
